order_id,customer_id,price,quantity,order_date,status,email
1001,501,19.99,2,2026-07-01,paid,ava@example.com
1001,502,8.50,1,2026-07-01,paid,ben@example.com
1001,503,42.00,1,2026-07-01,shipped,cam@example.com
1001,504,15.75,3,2026-07-01,pending,dia@example.com
1002,505,6.25,4,2026-07-02,paid,eli@example.com
1002,506,99.00,1,2026-07-02,completed,fay@example.com
1002,507,12.40,2,2026-07-02,paid,gus@example.com
1002,508,31.10,1,2026-07-02,cancelled,hal@example.com
1003,509,55.00,2,2026-07-03,paid,ivy@example.com
1003,510,7.99,5,2026-07-03,shipped,joy@example.com
1003,511,21.00,1,2026-07-03,complete,kai@example.com
1003,512,18.25,2,2026-07-03,paid,lee@example.com
1004,513,70.00,1,2026-07-04,paid,mia@example.com
1004,514,4.99,8,2026-07-04,paid,noa@example.com
1004,515,11.50,2,2026-07-04,pending,ori@example.com
1004,516,120.00,1,2026-07-04,completed,pia@example.com
1005,517,33.33,3,2026-07-05,paid,qun@example.com
1005,518,9.95,2,2026-07-05,shipped,ray@example.com
1005,519,24.75,1,2026-07-05,paid,sam@example.com
1005,520,16.00,2,2026-07-05,paid,tia@example.com

